ISVUsifra,imePredmeta,semestar,obavezni,godina
92978,Građa računala,Z,da,1
92979,Oblikovanje i analiza algoritama,Z,da,1
45688,Umjetna inteligencija,Z,da,1
45689,Matematička logika,Z,da,1
92949,Mreže računala,Z,da,1
45691,Operacijski sustavi,LJ,da,1
61519,Interpretacija programa,LJ,da,1
45693,Baze podataka,LJ,da,1
45694,Objektno programiranje (C++),LJ,da,1
45695,Računarski praktikum 2,LJ,da,1
92950,Izračunljivost,Z,da,2
92956,Softversko inženjerstvo,Z,da,2
92957,Kriptografija i sigurnost mreža,Z,da,2
61520,Računarski praktikum 3,Z,da,2
92958,Složenost algoritama,LJ,da,2
61518,Distribuirani procesi,LJ,da,2
61522,Multimedijski sustavi,Z,ne,2
92951,Meta-heuristike,Z,ne,1
213172,Teorija igara,Z,ne,2
45696,Kombinatorika,Z,ne,1
45700,Uvod u optimizaciju,Z,ne,1
61526,Uvod u složeno pretraživanje podataka,Z,ne,2
92953,Računalna grafika,Z,ne,1
213176,Java,Z,ne,1
213177,Napredni C++,Z,ne,2
227988,Matematička statistika,Z,ne,1
227986,Statističko učenje,Z,ne,2
61527,Matematička logika u računarstvu,LJ,ne,2
61528,Upravljanje softverskim projektima,LJ,ne,2
61529,Strojno učenje,LJ,ne,2
45702,Matematički softver,LJ,ne,1
61531,Napredne baze podataka,LJ,ne,2
45704,Operacijska istraživanja,LJ,ne,1
92954,Primijenjena statistika,LJ,ne,1
61532,Računarska statistika,LJ,ne,2
61533,Matematičko modeliranje pretraživača,LJ,ne,2
130302,Eliptičke krivulje u kriptografiji,LJ,ne,2
201266,Izračunljiva analiza,LJ,ne,2
213173,Algoritmi u teoriji brojeva,LJ,ne,1
213179,Teorija kategorija,LJ,ne,1
227987,Teorija statističkog učenja,LJ,ne,1
227989,Modalna logika,LJ,ne,1
